,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
0,Aniruddha Travels,INR 550,3.4,34 Seats available,NON A/C Seater/ Sleeper (2+1),18:30,09h 30m,04:00,Tinsukia
1,Puja Transport,INR 600,3.6,30 Seats available,NON AC Seater / Sleeper 2+1,18:30,10h 30m,05:00,Tinsukia
2,J.S. Travels,INR 550,3.1,32 Seats available,Non AC Seater (2+1),17:30,10h 30m,04:00,Tinsukia
3,Puja Transport,INR 600,3.3,35 Seats available,Non AC Seater (2+2),17:30,10h 30m,04:00,Tinsukia
4,Neha Travels,INR 650,1.9,28 Seats available,NON A/C Seater (2+2),15:00,12h 15m,03:15,Tinsukia Astc Bus Stand
5,Maa Laxmi,INR 550,2.7,35 Seats available,NON A/C Seater Push Back (2+1),16:00,10h 00m,02:00,Tinsukia
6,Assam State Transport Corporation (ASTC) - 139495,INR 273,3.4,47 Seats available,NON A/C Seater Push Back (2+1),07:30,06h 30m,14:00,Bokakhat
7,Aniruddha Travels,INR 550,5.0,45 Seats available,AC Seater (2+2),10:15,06h 00m,16:15,Bokakhat ASTC
8,SHIVAM TRAVELS,634,4.1,,Bharat Benz A/C Seater (2+1),12:15,04h 45m,17:00,
9,Chartered Bus - ASTC,INR 647.8,4.7,,Volvo AC Seater Pushback 2+2,12:30,04h 45m,17:15,
10,Bashudev Transline (Under ASTC),INR 550,4.5,,A/C Seater (2+1),12:35,05h 25m,18:00,
11,Christina Travels,650,2.9,,NON A/C Seater (2+2),11:00,04h 15m,15:15,
12,Aniruddha Travels,INR 550,2.9,,NON A/C Seater/ Sleeper (2+1),23:15,04h 45m,04:00,
13,PIHU TRANSPORT,INR 500,2.9,,Bharat Benz NON A/C Seater / Sleeper (2+1),23:30,04h 30m,04:00,
14,Aniruddha Travels,INR 600,3.2,50 Seats available,AC Seater (2+2),07:50,07h 10m,15:00,Tezpur ASTC
15,MOON TRAVELS,INR 500,3.3,31 Seats available,AC Seater (2+2),07:30,06h 30m,14:00,Tezpur (Mission Chariali)
16,PIHU TRANSPORT,INR 520,2.9,36 Seats available,Bharat Benz NON A/C Seater / Sleeper (2+1),19:40,07h 20m,03:00,Mission Chariali
17,Neha Travels,INR 650,1.9,35 Seats available,NON A/C Seater (2+2),22:40,05h 20m,04:00,Tezpur (Mission Chariali)
18,Maa Laxmi,INR 500,2.7,,NON A/C Seater Push Back (2+1),23:00,06h 00m,05:00,
19,Neha Travels,INR 700,1.9,,NON A/C Seater (2+2),22:40,07h 20m,06:00,
20,Assam State Transport Corporation (ASTC) - 82639,INR 404,4.0,36 Seats available,A/C Seater (2+1),09:20,07h 10m,16:30,Moran
21,Aniruddha Travels,INR 550,3.5,34 Seats available,NON A/C Seater/ Sleeper (2+1),21:00,07h 00m,04:00,Moran
22,Aniruddha Travels,INR 600,3.9,34 Seats available,AC Seater (2+2),08:25,07h 10m,15:35,Moran (Bus Stand)
23,MOON TRAVELS,INR 500,2.5,,AC Seater (2+2),10:10,07h 21m,17:31,
24,Maa Laxmi,INR 500,2.7,,NON A/C Seater Push Back (2+1),19:00,07h 00m,02:00,
25,Neha Travels,INR 650,2.4,,NON A/C Seater (2+2),18:00,09h 15m,03:15,
26,Aniruddha Travels,INR 550,3.7,25 Seats available,NON A/C Seater/ Sleeper (2+1),20:00,08h 00m,04:00,ASTC Bus Stand Tezpur
27,Puja Transport,INR 550,3.3,18 Seats available,NON AC Seater / Sleeper 2+1,20:00,08h 30m,04:30,Tezpur
28,Maa Laxmi,INR 550,3.2,34 Seats available,NON A/C Seater Push Back (2+1),23:00,06h 30m,05:30,Mission Chariali
29,Puja Transport,INR 550,2.8,25 Seats available,Non AC Seater (2+2),20:00,09h 00m,05:00,Tezpur
30,J.S. Travels,INR 550,1.9,32 Seats available,Non AC Seater (2+1),21:00,07h 00m,04:00,Tezpur
31,Neha Travels,INR 700,2.0,35 Seats available,NON A/C Seater (2+2),22:40,08h 20m,07:00,Tezpur (Mission Chariali)
32,Neha Travels,INR 650,2.5,19 Seats available,NON A/C Seater (2+2),22:40,05h 50m,04:30,Tezpur (Mission Chariali)
33,PIHU TRANSPORT,INR 470,2.3,45 Seats available,Bharat Benz NON A/C Seater / Sleeper (2+1),19:40,08h 20m,04:00,Tezpur ASTC
34,Aniruddha Travels,INR 550,3.5,25 Seats available,NON A/C Seater/ Sleeper (2+1),20:00,08h 45m,04:45,ASTC Bus Stand Tezpur
35,Puja Transport,INR 600,3.1,18 Seats available,NON AC Seater / Sleeper 2+1,20:00,09h 30m,05:30,Tezpur
36,Maa Laxmi,INR 550,2.4,32 Seats available,NON A/C Seater Push Back (2+1),23:00,09h 00m,08:00,Mission Chariali
37,Puja Transport,INR 550,3.6,25 Seats available,Non AC Seater (2+2),20:00,10h 00m,06:00,Tezpur
38,PIHU TRANSPORT,INR 500,3.5,30 Seats available,Bharat Benz NON A/C Seater / Sleeper (2+1),19:40,09h 20m,05:00,Tezpur ASTC
39,J.S. Travels,INR 550,2.0,29 Seats available,Non AC Seater (2+1),21:00,09h 30m,06:30,Tezpur
40,Neha Travels,INR 700,1.4,35 Seats available,NON A/C Seater (2+2),22:40,09h 20m,08:00,Tezpur (Mission Chariali)
41,Neha Travels,INR 650,1.1,17 Seats available,NON A/C Seater (2+2),22:40,06h 50m,05:30,Tezpur (Mission Chariali)
42,Kalpana Travels,INR 385,3.1,26 Seats available,AC Seater (2+2),13:20,05h 40m,19:00,North Lakhimpur
43,Debarath,INR 460,1.7,34 Seats available,A/C Seater Hi-Tech Push Back (2+2),10:00,05h 45m,15:45,ASTC Bus Stand
44,B.M. Travels (Swastidut) - Under ASTC,INR 350,2.4,,Non AC Seater (2+2),10:30,05h 50m,16:20,
45,KRISHNA CHARAN TRAVELS,INR 450,2.2,,A/C Seater Push Back (2+2),12:00,04h 30m,16:30,
46,Mayur Travels (Under ASTC),INR 350,4.5,,Non AC Seater (2+2),12:15,05h 45m,18:00,
47,Sparrow Travels (Under ASTC),INR 460,3.9,,A/C Seater Push Back (2+2),12:30,06h 15m,18:45,
48,Chartered Bus - ASTC,INR 648.23,1.0,,Volvo AC Seater Pushback 2+2,07:45,03h 45m,11:30,
49,Pranjit Travels (Under ASTC),463,,,Non AC Seater (2+1),20:45,05h 15m,02:00,
50,Pankaj Travels(Under ASTC),INR 400,,,AC Seater (2+2),07:25,05h 45m,13:10,
51,Ruma Travels (Under ASTC),INR 350,,,Non AC Seater (2+2),08:30,07h 00m,15:30,
52,DESTINY TRAVELS,INR 430,,,NON A/C Seater (2+1),19:45,28h 00m,23:45,
53,Assam State Transport Corporation (ASTC) - 139496,INR 273,3.8,46 Seats available,NON A/C Seater Push Back (2+1),09:30,07h 00m,16:30,University Bus Stop (Dibrugarh)
54,SHIVAM TRAVELS,555,4.6,31 Seats available,Bharat Benz A/C Seater (2+1),07:30,05h 00m,12:30,Dibrugarh
55,Aniruddha Travels,INR 550,3.7,19 Seats available,AC Seater (2+2),07:30,06h 30m,14:00,ASTC Chowkidingi Bus Stand
