,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
0,Ram Dalal Holidays,1452,4.8,18 Seats available,Volvo 9600 Multi Axle Semi-Sleeper (2+2),21:45,09h 20m,07:05,Majnu Ka Tilla
1,Bedi Travels,1116,4.8,17 Seats available,Volvo 9600 Multi Axle Semi-Sleeper (2+2),21:00,09h 45m,06:45,ISBT Kashmiri Gate
2,Ram Dalal Holidays,1295,4.8,18 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),19:30,10h 20m,05:50,ISBT Kashmiri Gate
3,Laxmi holidays,1424,4.7,24 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),22:00,10h 30m,08:30,ISBT Kashmiri Gate
4,Zingbus Plus,1079,4.7,24 Seats available,Volvo A/C Semi Sleeper (2+2),21:30,09h 00m,06:30,Majnu Ka Tilla
5,Laxmi holidays,1234,4.7,28 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),19:00,10h 15m,05:15,ISBT Kashmiri Gate
6,Bedi Travels,1152,4.6,17 Seats available,Volvo A/C Semi Sleeper (2+2 ),21:45,09h 45m,07:30,ISBT Kashmiri Gate
7,Laxmi holidays,1329,4.6,27 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2),20:00,10h 25m,06:25,ISBT Kashmiri Gate
8,FlixBus,INR 1769,4.5,1 Seat available,A/C Seater (2+2),19:00,11h 30m,06:30,Delhi RK Ashram (Flixbus Lounge)
9,Raghukul Holidays,1259,4.5,37 Seats available,Volvo A/C Semi Sleeper (2+2),20:30,10h 55m,07:25,Manju ka tila potala ground ...
10,Laxmi holidays,1377,4.4,15 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),21:00,09h 30m,06:30,ISBT Kashmiri Gate
11,Bedi Travels,1332,4.6,17 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),20:15,10h 00m,06:15,ISBT Kashmiri Gate
12,Zingbus Plus,1278,4.6,39 Seats available,Volvo Multi-Axle A/C Semisleeper (2+2),22:05,09h 35m,07:40,Majnu Ka Tilla
13,Laxmi holidays,1234,4.7,25 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2),19:00,10h 10m,05:10,ISBT Kashmiri Gate
14,Laxmi holidays,1149,4.6,24 Seats available,Volvo A/C Semi Sleeper (2+2),20:00,10h 30m,06:30,ISBT Kashmiri Gate
15,Ram Dalal Holidays,1249,3.5,6 Seats available,Volvo A/C Semi Sleeper (2+2),20:00,09h 15m,05:15,ISBT Kashmiri Gate
16,New Himalaya Travels,INR 1030,4.3,28 Seats available,Volvo A/C Semi Sleeper (2+2),20:00,09h 10m,05:10,ISBT Kashmiri Gate
