,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
0,Yolo Bus,INR 460,4.5,16 Seats available,VE A/C Seater / Sleeper (2+1),22:11,08h 17m,06:28,Alpha One Mall
1,IntrCity SmartBus,INR 432,4.6,30 Seats available,A/C Seater / Sleeper (2+1),21:30,08h 55m,06:25,Railway Station
2,Yolo Bus,INR 449,4.5,29 Seats available,VE A/C Seater / Sleeper (2+1),19:56,09h 04m,05:00,Alpha One Mall
3,AdIntrCity SmartBus,INR 463,4.3,23 Seats available,A/C Seater / Sleeper (2+1),20:45,09h 15m,05:55,Railway Station
4,Laxmi holidays,518,4.5,33 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),19:30,09h 30m,05:00,Railway Station
5,Laxmi holidays,656,4.4,19 Seats available,Bharat Benz A/C Sleeper (2+1),22:30,09h 00m,07:30,Railway Station
6,Laxmi holidays,570,4.4,33 Seats available,Bharat Benz A/C Sleeper (2+1),21:50,08h 40m,06:30,Railway Station
7,AdIntrCity SmartBus,410,4.3,28 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),22:15,08h 45m,06:30,Railway Station
8,R S YADAV SMART BUS PRIVATE LIMITED,INR 699,4.5,13 Seats available,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),21:25,07h 15m,05:10,Alpha One Mall
9,IntrCity SmartBus,INR 432,4.4,30 Seats available,A/C Seater / Sleeper (2+1),22:30,08h 45m,06:45,Railway Station
10,Zingbus Plus,403,4.4,31 Seats available,Scania A/C Semi Sleeper (2+2),21:10,08h 50m,06:05,Railway Station
11,IntrCity SmartBus,410,4.3,36 Seats available,A/C Seater / Sleeper (2+1),23:00,08h 20m,06:50,Railway Station
12,Laxmi holidays,570,4.2,27 Seats available,VE A/C Sleeper (2+1),21:30,09h 30m,07:00,Railway Station
13,FlixBus,INR 470,4.4,14 Seats available,A/C Sleeper (2+1),22:00,08h 35m,06:35,Amritsar (ISBT/Mahan Singh Gate)
14,Muskan Tour And Travels private Limited,600,4.1,31 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2),22:15,07h 40m,05:55,Railway Station
15,Golden Temple Express Volvo,599,4.1,30 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2),22:15,08h 05m,06:20,Railway Station
16,IntrCity SmartBus,410,3.9,20 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),21:15,09h 30m,06:45,Railway Station
17,ADTC tour and Travels,INR 600,4.1,30 Seats available,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),21:20,07h 50m,05:10,Railway Station
18,Laxmi holidays,442,4.1,33 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),21:00,09h 20m,06:20,Railway Station
19,IntrCity SmartBus,433,3.6,29 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),22:00,08h 45m,06:40,Railway Station
20,Golden Temple Express Volvo,499,4.3,25 Seats available,A/C Seater / Sleeper (2+2),20:45,08h 35m,05:20,Railway Station
21,IntrCity SmartBus,651,3.8,20 Seats available,AC Sleeper (2+1),22:45,08h 30m,07:10,Railway Station
22,Golden Temple Express Volvo,549,3.2,29 Seats available,A/C Seater / Sleeper (2+2),21:00,08h 20m,05:20,Railway Station
23,Prince Travels,INR 499,3.6,36 Seats available,A/C Seater / Sleeper (2+2),22:10,07h 50m,06:00,Railway Station
24,NueGo,427,3.9,35 Seats available,Electric A/C Seater/Sleeper (2+1),22:45,09h 40m,08:25,Alpha One Mall
