,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
0,Basu Travels,INR 499,2.9,20 Seats available,A/C Seater Push Back (2+3),23:30,03h 25m,02:55,Esplanade
1,Basu Travels,INR 599,2.9,34 Seats available,A/C Seater / Sleeper (2+2),23:59,03h 01m,03:00,Esplanade
2,Basu Travels,INR 469,2.9,21 Seats available,A/C Seater Push Back (2+3),23:55,02h 50m,02:45,Esplanade
3,WBTC (CTC) KOLKATA -BOLPUR - SURI (AC-VOLVO) - 104|14:30,INR 435,3.9,,Volvo AC Seater (2+2),14:30,04h 10m,18:40,
4,Gogol City Service,143,4.3,,AC Seater (2+3),13:30,02h 45m,16:15,
5,Diamond City Service,149,4.3,,A/C Executive (2+3),15:10,03h 45m,18:55,
6,Gogol City Service,148,4.2,,AC Seater (2+3),12:50,02h 45m,15:35,
7,KRISHNAKALI,INR 165,3.1,,A/C Seater (2+3),14:45,02h 45m,17:30,
8,Droupadi Paribahan,INR 160,3.7,,A/C Seater (2+3),14:10,02h 48m,16:58,
9,Droupadi City Service,INR 160,3.2,,A/C Seater (2+3),15:20,02h 50m,18:10,
10,Droupadi Bus Service,INR 133,3.2,,Non AC Seater (2+3),16:20,02h 50m,19:10,
11,Satadal Travels,171,3.5,,A/C Seater (2+2),14:55,03h 20m,18:15,
12,Santosh Bus Service,279,3.8,61 Seats available,A/C Seater Push Back (2+3),13:30,03h 40m,17:10,Esplanade
13,Bengal Surface Transport,INR 419,3.0,25 Seats available,A/C Seater Push Back (2+3),23:20,02h 55m,02:15,Esplanade
14,Bengal Surface Transport,INR 550,3.0,20 Seats available,A/C Seater / Sleeper (2+2),23:55,02h 50m,02:45,Esplanade
15,Basu Travels,INR 399,2.9,34 Seats available,A/C Seater Push Back (2+3),14:25,02h 55m,17:20,Esplanade
16,Basu Travels,INR 499,2.9,20 Seats available,A/C Seater Push Back (2+3),23:30,03h 00m,02:30,Esplanade
17,Basu Travels,INR 599,2.9,21 Seats available,A/C Seater / Sleeper (2+2),23:59,02h 46m,02:45,Esplanade
18,Santosh Bus Service,166,3.8,,NON A/C Seater Pushback (2+3),20:05,03h 40m,23:45,
