,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
0,Vijay Tour and Travels,INR 799,3.9,6 Seats available,A/C Seater / Sleeper (2+1),19:00,06h 10m,01:10,Vijay travels near satellite ...
1,New Khaira TPT,INR 900,3.7,15 Seats available,AC Sleeper (2+1),23:15,05h 45m,05:00,Outside Satellite Bus Stand
2,New Khaira Transport,INR 500,2.7,7 Seats available,A/C Seater / Sleeper (2+2),23:30,06h 30m,06:00,Near Satelite Bus Stund
3,Vijay Tour and Travels,INR 649,2.9,9 Seats available,A/C Seater / Sleeper (2+1),17:00,06h 20m,23:20,Bareily
4,Rahul Travels,INR 1062,3.6,20 Seats available,AshokLeyland Stile A/C,22:30,06h 30m,05:00,Near Satelite Bus Stund
5,New Khaira Transport,INR 700,2.6,10 Seats available,A/C Seater / Sleeper (2+2),23:50,07h 00m,06:50,Bareily
6,Rahul Travels,INR 1062,3.0,4 Seats available,AshokLeyland Stile A/C,23:10,06h 00m,05:10,Near Satelite Bus Stund
7,New Khaira Transport,INR 700,2.7,7 Seats available,A/C Seater / Sleeper (2+1),23:45,05h 15m,05:00,JHUMKA CHAURAHA
8,SHRI RAM TRAVELS,INR 740,4.6,6 Seats available,A/C Seater (2+2),16:15,05h 00m,21:15,JHUMKA CHAURAHA
9,SHRI RAM TRAVELS,INR 740,1.7,43 Seats available,A/C Seater (2+2),11:35,05h 25m,17:00,Bareilly
10,SHRI RAM TRAVELS,INR 740,2.7,30 Seats available,A/C Seater (2+2),10:00,05h 30m,15:30,Bareilly
11,SHRI RAM TRAVELS,INR 705,2.0,,A/C Seater (2+2),15:30,05h 30m,21:00,
12,Jaiswal Holidays,INR 1000,2.8,,A/C Sleeper (2+1),22:40,05h 50m,04:30,
13,Jaiswal Holidays,INR 1000,2.8,,A/C Seater/Sleeper (2+1),21:40,06h 20m,04:00,
14,Jaiswal Tour and Travels,INR 700,2.7,,A/C Seater/Sleeper (2+1),22:15,05h 45m,04:00,
15,Jaiswal Tour and Travels,INR 800,2.7,,A/C Sleeper (2+1),22:50,05h 45m,04:35,
16,KVS Holidays,INR 799,1.5,30 Seats available,Non A/C Seater / Sleeper (2+1),20:30,09h 00m,05:30,Farrukhabad
17,Chaturvedi Bus Service,INR 350,2.0,51 Seats available,NON A/C Seater/ Sleeper (2+1),20:00,09h 15m,05:15,Opp.ITI office_chaturvedi bus...
18,Chaturvedi Bus Service,INR 570,1.1,48 Seats available,A/C Seater / Sleeper (2+1),19:30,09h 30m,05:00,Opp.ITI office_chaturvedi bus...
19,Yuvraj Travels,450,1.6,40 Seats available,NON AC Seater / Sleeper 2+1,18:45,10h 15m,05:00,Lal Gate Near Fountain
20,Yuvraj Travels,450,1.6,40 Seats available,NON AC Seater / Sleeper 2+1,19:00,10h 00m,05:00,Lal Gate Near Fountain
21,Yuvraj Travels,450,1.4,40 Seats available,NON AC Seater / Sleeper 2+1,18:30,11h 30m,06:00,Lal Gate Near Fountain
22,Chaturvedi Bus Service,INR 570,1.4,51 Seats available,NON A/C Seater/ Sleeper (2+1),16:30,11h 00m,03:30,qadri get_chaturvedi bus service
23,Chaturvedi Bus Service,INR 620,,45 Seats available,NON AC Seater / Sleeper 2+1,16:00,10h 30m,02:30,qadri get_chaturvedi bus service
24,Shree Krishna Shtabadi Travels,INR 1200,,32 Seats available,NON A/C Sleeper (2+1),19:00,11h 30m,06:30,Maseni Chauraha
25,Shree Krishna Shtabadi Travels,INR 600,,44 Seats available,NON AC Seater / Sleeper 2+1,18:30,10h 50m,05:20,Maseni Chauraha
26,Shivendra Travels,INR 3500,,1 Seat available,A/C Sleeper (2+1),20:00,09h 30m,05:30,Farrukhabad
27,RSRTC - 160168,INR 468,1.0,16 Seats available,Express Non AC Seater 2+3,11:00,06h 15m,17:15,Aligarh By pass
28,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),INR 899,3.8,,Bharat Benz A/C Seater /Sleeper (2+1),23:59,04h 31m,04:30,
29,KVS Holidays,INR 699,1.3,31 Seats available,Non A/C Seater / Sleeper (2+1),21:30,09h 00m,06:30,ISBT Kashmiri Gate
30,Chaturvedi Bus Service,INR 520,2.0,51 Seats available,NON A/C Seater/ Sleeper (2+1),19:30,11h 00m,06:30,Moti Nagar
31,Shree Krishna Shtabadi Travels,INR 600,1.4,44 Seats available,NON AC Seater / Sleeper 2+1,21:00,09h 00m,06:00,Morigate
32,Yuvraj Travels,450,1.2,40 Seats available,NON AC Seater / Sleeper 2+1,22:00,08h 00m,06:00,Kapashera
33,Yuvraj Travels,450,1.7,40 Seats available,NON AC Seater / Sleeper 2+1,21:30,08h 30m,06:00,Kapashera
34,Chaturvedi Bus Service,INR 570,1.7,48 Seats available,A/C Seater / Sleeper (2+1),20:40,10h 50m,07:30,Loni Kacha Balram Nagar
35,Chaturvedi Bus Service,INR 670,1.4,51 Seats available,NON A/C Seater/ Sleeper (2+1),22:00,09h 10m,07:10,India Gate
36,Chaturvedi Bus Service,INR 670,,45 Seats available,NON AC Seater / Sleeper 2+1,21:00,09h 10m,06:10,India Gate
37,Shree Krishna Shtabadi Travels,INR 1200,,32 Seats available,NON A/C Sleeper (2+1),21:00,09h 30m,06:30,Morigate
38,Abhay Travels (I.R.T.C),450,,55 Seats available,NON A/C Seater / Sleeper (2+2),20:30,09h 30m,06:00,Delhi
39,Yuvraj Travels,450,,40 Seats available,NON AC Seater / Sleeper 2+1,20:00,10h 00m,06:00,Rohini
40,Shivendra Travels,INR 3500,,1 Seat available,A/C Sleeper (2+1),21:00,09h 00m,06:00,Noida Khoda
41,UPSRTC - AWD0199,INR 948,4.3,39 Seats available,Pink Express AC Seater 2+2,20:02,07h 58m,04:00,MASOODABAD ALIGARH
42,UPSRTC - BDV0065,INR 948,3.6,35 Seats available,Janrath AC Seater 2+2,21:15,07h 45m,05:00,MASOODABAD ALIGARH
43,UPSRTC - BDV0067,INR 948,3.3,35 Seats available,Janrath AC Seater 2+2,17:01,09h 29m,02:30,MASOODABAD ALIGARH
44,UPSRTC - CBG0159,INR 895,3.3,36 Seats available,Janrath AC Seater 2+2,20:30,08h 30m,05:00,Alambagh
45,UPSRTC - CBG0158,INR 895,3.3,34 Seats available,Janrath AC Seater 2+2,19:30,09h 00m,04:30,Alambagh
46,UPSRTC - AWD0228,INR 842,3.3,36 Seats available,Janrath AC Seater 2+2,22:00,09h 00m,07:00,AWADH BUS STATION
47,UPSRTC - BUI0026,INR 895,3.3,36 Seats available,Janrath AC Seater 2+2,18:30,09h 10m,03:40,Alambagh
48,UPSRTC - AKP0214,INR 579,,36 Seats available,Ordinary Non AC Seater 2+3,10:30,11h 16m,21:46,Alambagh
49,UPSRTC - GLA0139,INR 895,,,Janrath AC Seater 2+2,22:50,07h 25m,06:15,
50,The Himalayan Spirits,INR 999,3.0,13 Seats available,A/C Seater Tempo Traveller (2+1),21:30,06h 39m,04:09,Akshardham Metro Station
51,KANAHAIYA TOUR & TRAVELS,INR 299,,,A/C Seater (2+3),14:30,04h 30m,19:00,
52,Rai Tour and Travels,INR 299,,,AC Seater (2+2),14:20,05h 10m,19:30,
53,UPSRTC - HDD0005,INR 789,4.4,34 Seats available,Janrath AC Seater 2+2,20:45,08h 45m,05:30,SHAHJAHANPUR
54,UPSRTC - STD0072,INR 768,2.7,33 Seats available,Janrath AC Seater 2+2,22:40,07h 05m,05:45,SHAHJAHANPUR
55,UPSRTC - GLA0023,INR 791,2.5,32 Seats available,Janrath AC Seater 2+2,21:30,07h 00m,04:30,SHAHJAHANPUR
56,UPSRTC - SJP0039,INR 584,3.3,52 Seats available,Rajdhani Non AC Seater 2+3,10:15,08h 00m,18:15,SHAHJAHANPUR
57,UPSRTC - HDD0063,INR 550,3.3,40 Seats available,Ordinary Non AC Seater 2+3,18:00,07h 03m,01:03,SHAHJAHANPUR
58,UPSRTC - SJP0005,INR 584,3.3,40 Seats available,Ordinary Non AC Seater 2+3,10:00,08h 00m,18:00,SHAHJAHANPUR
59,UPSRTC - LKM0022,INR 791,3.3,52 Seats available,Shatabdi AC Seater 2+2,21:40,07h 07m,04:47,SHAHJAHANPUR
60,UPSRTC - LKM0028,INR 791,3.3,52 Seats available,Shatabdi AC Seater 2+2,22:40,07h 21m,06:01,SHAHJAHANPUR
61,UPSRTC - STD0049,INR 536,3.3,52 Seats available,Ordinary Non AC Seater 2+3,20:03,08h 51m,04:54,SHAHJAHANPUR
62,UPSRTC - STD0050,INR 536,3.3,52 Seats available,Ordinary Non AC Seater 2+3,20:33,08h 51m,05:24,SHAHJAHANPUR
63,UPSRTC - BRT0007,INR 567,3.3,52 Seats available,Ordinary Non AC Seater 2+3,19:40,08h 20m,04:00,SHAHJAHANPUR
64,UPSRTC - SJP0004,INR 584,3.3,52 Seats available,Ordinary Non AC Seater 2+3,09:30,08h 00m,17:30,SHAHJAHANPUR
65,UPSRTC - SJP0037,INR 584,3.3,52 Seats available,Ordinary Non AC Seater 2+3,18:00,08h 00m,02:00,BAREILLY MOD
66,UPSRTC - SJP0035,INR 584,3.3,52 Seats available,Ordinary Non AC Seater 2+3,17:00,08h 00m,01:00,SHAHJAHANPUR
67,UPSRTC - SJP0030,INR 584,3.3,52 Seats available,Ordinary Non AC Seater 2+3,16:00,07h 59m,23:59,BAREILLY MOD
68,UPSRTC - SJP0032,INR 584,3.3,36 Seats available,Ordinary Non AC Seater 2+3,16:30,08h 00m,00:30,SHAHJAHANPUR
69,UPSRTC - SJP0010,INR 584,3.3,52 Seats available,Ordinary Non AC Seater 2+3,10:30,08h 00m,18:30,SHAHJAHANPUR
70,UPSRTC - SJP0100,INR 584,3.3,52 Seats available,Ordinary Non AC Seater 2+3,12:01,08h 24m,20:25,BAREILLY MOD
71,UPSRTC - SJP0099,INR 584,3.3,52 Seats available,Ordinary Non AC Seater 2+3,11:30,08h 20m,19:50,SHAHJAHANPUR
72,UPSRTC - HDD0030,INR 564,,52 Seats available,Ordinary Non AC Seater 2+3,17:32,09h 28m,03:00,SHAHJAHANPUR
73,UPSRTC - SJP0225,INR 584,,52 Seats available,Ordinary Non AC Seater 2+3,10:32,07h 20m,17:52,BAREILLY MOD
74,UPSRTC - SJP0281,INR 584,,52 Seats available,Ordinary Non AC Seater 2+3,19:45,07h 20m,03:05,BAREILLY MOD
75,UPSRTC - SJP0214,INR 584,,51 Seats available,Ordinary Non AC Seater 2+3,09:32,07h 20m,16:52,BAREILLY MOD
76,UPSRTC - STD0144,INR 563,,52 Seats available,Ordinary Non AC Seater 2+3,21:28,09h 02m,06:30,BAREILLY MOD
77,UPSRTC - SJP0256,INR 584,,,Ordinary Non AC Seater 2+3,13:00,07h 20m,20:20,
78,UPSRTC - SJP0246,INR 584,,,Ordinary Non AC Seater 2+3,11:32,07h 20m,18:52,
79,UPSRTC - GLA0141,INR 791,,,Janrath AC Seater 2+2,21:35,07h 30m,05:05,
80,UPSRTC - SJP0236,INR 584,,,Ordinary Non AC Seater 2+3,11:02,07h 20m,18:22,
81,UPSRTC - SJP0286,INR 584,,,Ordinary Non AC Seater 2+3,21:00,07h 20m,04:20,
82,UPSRTC - SJP0212,INR 584,,,Ordinary Non AC Seater 2+3,09:02,07h 20m,16:22,
83,UPSRTC - HDD0091,INR 535,,,Ordinary Non AC Seater 2+3,20:11,07h 59m,04:10,
84,UPSRTC - SJP0288,INR 584,,,Ordinary Non AC Seater 2+3,21:45,07h 20m,05:05,
85,UPSRTC - SJP0278,INR 584,,,Ordinary Non AC Seater 2+3,17:31,07h 20m,00:51,
86,UPSRTC - SJP0253,INR 584,,,Ordinary Non AC Seater 2+3,12:02,07h 20m,19:22,
87,UPSRTC - SJP0263,INR 584,,,Ordinary Non AC Seater 2+3,15:00,07h 20m,22:20,
88,UPSRTC - HDD0083,INR 564,,,Ordinary Non AC Seater 2+3,17:30,08h 55m,02:25,
89,UPSRTC - STD0163,INR 532,,,Ordinary Non AC Seater 2+3,19:58,09h 18m,05:16,
90,UPSRTC - HDD0099,INR 564,,,Rajdhani Non AC Seater 2+3,21:51,08h 04m,05:55,
91,UPSRTC - STD0368,INR 563,,,Ordinary Non AC Seater 2+3,20:01,08h 39m,04:40,
92,UPSRTC - SJP0271,INR 584,,,Ordinary Non AC Seater 2+3,16:01,07h 20m,23:21,
93,UPSRTC - SJP0217,INR 584,,,Ordinary Non AC Seater 2+3,10:02,07h 20m,17:22,
94,UPSRTC - ALI0004,INR 263,4.4,52 Seats available,Janrath AC Seater 2+3,16:00,04h 00m,20:00,Anand Vihar
95,UPSRTC - ALI0059,INR 304,4.2,52 Seats available,Janrath AC Seater 2+2,09:30,03h 00m,12:30,Anand Vihar
96,UPSRTC - BDV0005,INR 304,4.0,52 Seats available,Janrath AC Seater 2+2,17:31,02h 59m,20:30,Anand Vihar
97,UPSRTC - ALI0009,INR 304,3.8,52 Seats available,Janrath AC Seater 2+2,11:30,03h 00m,14:30,Kaushambi Bus Stand(Delhi)
98,UPSRTC - ALI0064,INR 304,3.2,,Janrath AC Seater 2+2,16:28,03h 02m,19:30,
99,UPSRTC - BDV0004,INR 304,3.7,,Janrath AC Seater 2+2,10:30,03h 00m,13:30,
100,UPSRTC - ALI0011,INR 304,2.3,,Janrath AC Seater 2+2,18:31,02h 59m,21:30,
101,UPSRTC - HDD0025,INR 252,3.3,,Ordinary Non AC Seater 2+3,19:00,05h 40m,00:40,
102,UPSRTC - KSN0048,INR 333,3.3,,Janrath AC Seater 2+2,10:00,03h 40m,13:40,
103,UPSRTC - HDD0038,INR 252,3.3,,Ordinary Non AC Seater 2+3,18:33,02h 57m,21:30,
104,UPSRTC - PTG0149,INR 224,3.3,,Rajdhani Non AC Seater 2+3,12:50,03h 20m,16:10,
105,UPSRTC - HDD0023,INR 252,3.3,,Ordinary Non AC Seater 2+3,16:35,05h 15m,21:50,
106,UPSRTC - PTG0151,INR 224,3.3,,Ordinary Non AC Seater 2+3,12:10,03h 35m,15:45,
107,UPSRTC - BSP0002,INR 224,3.3,,Ordinary Non AC Seater 2+3,11:30,03h 30m,15:00,
108,UPSRTC - HDD0018,INR 255,3.3,,Ordinary Non AC Seater 2+3,18:00,06h 40m,00:40,
109,UPSRTC - HDD0015,INR 255,3.3,,Ordinary Non AC Seater 2+3,17:00,05h 50m,22:50,
110,UPSRTC - HDD0012,INR 255,3.3,,Ordinary Non AC Seater 2+3,16:00,05h 50m,21:50,
111,UPSRTC - MZP0026,INR 258,3.3,,Rajdhani Non AC Seater 2+3,14:20,03h 30m,17:50,
112,UPSRTC - HDD0035,INR 255,3.3,,Ordinary Non AC Seater 2+3,18:32,02h 18m,20:50,
113,UPSRTC - KSN0054,INR 291,3.3,,Janrath AC Seater 2+3,14:45,03h 34m,18:19,
114,UPSRTC - HDD0079,INR 255,3.3,,Ordinary Non AC Seater 2+3,18:05,02h 45m,20:50,
115,UPSRTC - HDD0074,INR 255,,,Ordinary Non AC Seater 2+3,17:05,01h 45m,18:50,
116,UPSRTC - HDD0111,INR 255,,,Ordinary Non AC Seater 2+3,19:03,05h 57m,01:00,
117,UPSRTC - HDD0131,INR 255,,,Ordinary Non AC Seater 2+3,20:07,03h 09m,23:16,
