,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
0,Jujhar Travels,INR 280,4.0,,Volvo A/C Semi Sleeper (2+2),08:40,01h 50m,10:30,
1,Jujhar Travels,INR 280,4.8,,Volvo A/C Semi Sleeper (2+2),09:40,02h 15m,11:55,
2,Jujhar Travels,INR 280,3.6,,Mercedes Benz A/C (2+2),10:35,02h 15m,12:50,
3,Jujhar Travels,INR 280,4.4,,Volvo A/C Semi Sleeper (2+2),11:15,01h 55m,13:10,
4,Jujhar Travels,INR 280,4.1,,Volvo A/C Semi Sleeper (2+2),15:50,02h 15m,18:05,
5,Jujhar Travels,INR 280,4.0,,Volvo A/C Semi Sleeper (2+2),17:10,01h 55m,19:05,
6,Jujhar Travels,INR 280,4.0,,Volvo A/C Semi Sleeper (2+2),18:20,02h 00m,20:20,
7,Sagar Bus Service,279,4.6,,Volvo AC Seater (2+2),10:20,02h 20m,12:40,
8,Orbit Aviation Pvt. Ltd.,INR 280,3.1,,A/C Seater (2+2),11:35,02h 15m,13:50,
9,Jujhar Travels,INR 280,3.2,,Volvo A/C Semi Sleeper (2+2),12:15,02h 00m,14:15,
10,Orbit Aviation Pvt. Ltd.,INR 280,3.0,,A/C Seater (2+2),12:55,01h 55m,14:50,
11,New deep Motors,INR 280,3.5,,Volvo AC Seater (2+2),13:40,01h 50m,15:30,
12,Jujhar Travels,INR 280,3.9,,Volvo A/C Semi Sleeper (2+2),14:13,02h 10m,16:23,
13,Orbit Aviation Pvt. Ltd.,INR 280,3.4,,A/C Seater (2+2),14:55,01h 55m,16:50,
14,Jujhar Travels,INR 280,4.3,,Mercedes A/C Seater (2+2),15:00,02h 15m,17:15,
15,Jujhar Travels,INR 280,3.9,,Mercedes A/C Seater (2+2),15:25,02h 05m,17:30,
16,Jujhar Travels,INR 280,4.3,,Volvo A/C Semi Sleeper (2+2),16:20,02h 10m,18:30,
17,Jujhar Travels,INR 280,4.5,,Volvo A/C Semi Sleeper (2+2),17:25,02h 25m,19:50,
18,Orbit Aviation Pvt. Ltd.,INR 280,3.5,,A/C Seater (2+2),17:55,02h 05m,20:00,
19,Rajpreet Travels and cargo,INR 950,4.1,,A/C Sleeper (2+1),19:00,02h 30m,21:30,
20,Zimindara Travels,INR 714,3.5,,AC Sleeper (2+1),20:00,02h 20m,22:20,
21,Rajpreet Travels and cargo,INR 666,4.1,,A/C Sleeper (2+1),20:00,02h 00m,22:00,
22,Zimindara Travels,INR 714,3.3,,AC Sleeper (2+1),20:30,02h 20m,22:50,
23,CHANDRA RAJ TRAVELS,INR 900,3.6,,Bharat Benz A/C Sleeper (2+1),20:30,01h 45m,22:15,
24,City Land Travels,1450,,,Volvo A/C Semi Sleeper (2+2),23:05,00h 30m,23:35,
25,Shree Mahaveer Travels Jaipur,INR 1299,3.8,17 Seats available,VE A/C Seater / Sleeper (2+1),22:00,09h 55m,07:55,Sector 52
26,Vijay Tour and Travels,INR 1200,3.4,30 Seats available,A/C Seater / Sleeper (2+1),23:30,10h 00m,09:30,Vijay gajraj travels sector-52
27,Chandigarh Transport Undertaking (CTU) - 165837,INR 452.39,4.3,25 Seats available,HVAC Seater (2+3),13:20,06h 30m,19:50,Sujanpur tira Near Bus Stand
28,Laxmi holidays,854,4.6,,Volvo A/C Semi Sleeper (2+2),19:30,05h 45m,01:15,
29,Chandigarh Transport Undertaking (CTU) - 165962,INR 438.9,3.2,18 Seats available,HVAC Seater (2+3),13:40,05h 50m,19:30,Sector 52
30,Shree Mahaveer Travels Jaipur,INR 1199,3.9,14 Seats available,VE A/C Seater / Sleeper (2+1),22:00,05h 15m,03:15,Karan Filling Station Indian ...
31,Zimindara Travels,INR 949,4.4,29 Seats available,AC Sleeper (2+1),23:00,05h 30m,04:30,Tribune Chowk Sector 31B
32,Laxmi holidays,1044,4.2,31 Seats available,VE A/C Semi Sleeper (2+2),23:55,06h 35m,06:30,Sector 42 IndianOil Petrol Pump
33,City Land Travels,838,3.6,30 Seats available,Bharat Benz (2+2),23:59,05h 01m,05:00,Vijay gajraj travels sector-52
34,Vijay Tour and Travels,INR 800,2.6,,A/C Seater / Sleeper (2+1),23:30,05h 00m,04:30,
35,HRTC - 1514,INR 308,3.8,,Ordinary 3+2 Non AC Seater,16:00,05h 45m,21:45,
36,Zingbus Plus,1299,4.7,24 Seats available,Volvo A/C Semi Sleeper (2+2),23:15,06h 10m,05:25,Sec 43
37,Laxmi holidays,949,4.7,30 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),22:50,06h 10m,05:00,Tribune Chowk Sector 31B
38,Laxmi holidays,1044,4.8,25 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),23:30,06h 50m,06:20,Tribune Chowk Sector 31B
39,AdRajdhani Travels,INR 899,2.9,24 Seats available,Bharat Benz A/C Seater (2+2),23:50,07h 00m,06:50,Sector 43 Hp Petrol Pump Opp ...
40,Laxmi holidays,949,4.5,34 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2),23:45,06h 45m,06:30,Tribune Chowk Sector 31B
41,Laxmi holidays,1025,4.1,12 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:20,06h 40m,06:00,Tribune Chowk Sector 31B
42,Deltin Travels,INR 1370,4.0,36 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2),23:59,07h 01m,07:00,Tribune Chowk
43,GLOBAL HOLIDAYS ADVENTURE TOURS,810,3.5,20 Seats available,A/C Semi Sleeper (2+2),22:25,08h 35m,07:00,Opp. ISBT Sector 43 Near HP P...
44,City Land Travels,1238,3.5,29 Seats available,Volvo A/C Semi Sleeper (2+2),22:15,08h 15m,06:30,Sector 42 IndianOil Petrol Pump
45,Reo India Travels,1197,3.6,33 Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),23:59,07h 26m,07:25,Chandni Chowk
46,SHRI BALAJII TRAVELS,INR 2000,3.0,4 Seats available,Volvo A/C Semi Sleeper (2+2),23:55,06h 05m,06:00,Chandigarh
47,GLOBAL HOLIDAYS ADVENTURE TOURS,989,4.7,13 Seats available,A/C Semi Sleeper (2+2),22:35,08h 35m,07:10,Opp. ISBT Sector 43 Near HP P...
48,Malana Travels,INR 1299,4.5,17 Seats available,Volvo A/C Semi Sleeper (2+2),23:58,05h 32m,05:30,Chandigarh Sohana Gurudwara M...
49,Subh Yatri Holidays,1223,3.4,22 Seats available,Volvo A/C Semi Sleeper (2+2),23:45,05h 45m,05:30,Chandigarh
50,Abtc Tour and Travels,750,1.9,10 Seats available,Bharat Benz A/C Semi Sleeper (2+2),01:00,06h 00m,07:00,Chandni Chowk
51,Himgiri Adventure Tour,764,1.9,21 Seats available,Bharat Benz A/C Semi Sleeper (2+2),22:00,09h 15m,07:15,Chandni Chowk
52,Everest Holidays,674,4.4,25 Seats available,Volvo A/C Semi Sleeper (2+2),23:55,07h 05m,07:00,Sohana sahib gurudwara mohali
