,Starting_names,Reaching_names,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point,Ratings_range,Bus_fare_range,Bus_category,AC_Type,Seat_Type,Starting_time_interval,Ending_time_interval,Route
0,Rajahmundry,Visakhapatnam,NueGo,379.0,3.2,41 Seats available,Electric A/C Seater (2+2),18:30,03h 35m,22:05,Vemagiri Junction,3 to 4,others,AC Seater,A/C,Seater,18:00 - 19:00,22:00 - 23:00,Rajahmundry to Visakhapatnam
1,Rajahmundry,Visakhapatnam,NueGo,367.0,3.1,24 Seats available,Electric A/C Seater/Sleeper (2+1),19:05,04h 20m,23:25,Lalacheruvu Junction,3 to 4,others,AC Sleeper,A/C,Sleeper,19:00 - 20:00,23:00 - 00:00,Rajahmundry to Visakhapatnam
2,Rajahmundry,Visakhapatnam,SREE PAVAN TRAVELS,495.0,3.5,38 Seats available,NON A/C Seater Push Back (2+2),23:20,03h 45m,03:05,Morampudi Junction,3 to 4,others,AC Semi Sleeper,Non A/C,Seater,23:00 - 00:00,03:00 - 04:00,Rajahmundry to Visakhapatnam
3,Rajahmundry,Visakhapatnam,IRA Travels,600.0,3.9,11 Seats available,A/C Seater / Sleeper (2+1),23:20,04h 20m,03:40,Gokavaram Bus Stand,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,23:00 - 00:00,03:00 - 04:00,Rajahmundry to Visakhapatnam
4,Rajahmundry,Visakhapatnam,IRA Travels,550.0,3.9,29 Seats available,A/C Seater / Sleeper (2+1),23:20,04h 25m,03:45,Diwaan Chervu,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,23:00 - 00:00,03:00 - 04:00,Rajahmundry to Visakhapatnam
5,Rajahmundry,Visakhapatnam,NueGo,471.0,4.2,29 Seats available,Electric A/C Seater/Sleeper (2+1),23:20,04h 25m,03:45,Diwaan Chervu,4 to 5,others,AC Sleeper,A/C,Sleeper,23:00 - 00:00,03:00 - 04:00,Rajahmundry to Visakhapatnam
6,Rajahmundry,Visakhapatnam,Jayalakshmi Tours and Travels,800.0,3.7,33 Seats available,A/C Seater / Sleeper (2+1),23:55,03h 35m,03:30,Morampudi Junction,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,23:00 - 00:00,03:00 - 04:00,Rajahmundry to Visakhapatnam
7,Rajahmundry,Visakhapatnam,Navin Travels,463.0,3.6,29 Seats available,Non A/C Seater / Sleeper (2+1),23:55,04h 35m,04:30,Morampudi Junction,3 to 4,others,AC Sleeper,A/C,Sleeper,23:00 - 00:00,04:00 - 05:00,Rajahmundry to Visakhapatnam
8,Rajahmundry,Visakhapatnam,Prathap Travels,495.0,4.1,20 Seats available,Non A/C Seater / Sleeper (2+1),23:55,0-20h 0-50m,04:05,Diwaan Chervu,4 to 5,others,AC Sleeper,A/C,Sleeper,23:00 - 00:00,04:00 - 05:00,Rajahmundry to Visakhapatnam
9,Rajahmundry,Visakhapatnam,Nani’s Sai Krishna Travels,500.0,3.1,37 Seats available,Non A/C Seater / Sleeper (2+1),23:55,04h 05m,04:00,Diwancheru,3 to 4,others,AC Sleeper,A/C,Sleeper,23:00 - 00:00,04:00 - 05:00,Rajahmundry to Visakhapatnam
10,Rajahmundry,Visakhapatnam,Sri Padmavathi Travels,450.0,3.1,27 Seats available,NON A/C Airbus (2+2),23:55,03h 15m,03:10,Diwaan Chervu,3 to 4,others,Other,Non A/C,Other,23:00 - 00:00,03:00 - 04:00,Rajahmundry to Visakhapatnam
11,Rajahmundry,Visakhapatnam,Sri Padmavathi Travels,450.0,3.9,39 Seats available,Non A/C Seater / Sleeper (2+1),23:59,05h 01m,05:00,Diwaan Chervu,3 to 4,others,AC Sleeper,A/C,Sleeper,23:00 - 00:00,05:00 - 06:00,Rajahmundry to Visakhapatnam
12,Rajahmundry,Visakhapatnam,SRI SAI BALAJI TOURS AND TRAVELS,680.0,4.1,24 Seats available,A/C Seater / Sleeper (2+1),23:59,04h 51m,04:50,Morampudi Junction,4 to 5,below 1000,AC Sleeper,A/C,Sleeper,23:00 - 00:00,04:00 - 05:00,Rajahmundry to Visakhapatnam
13,Rajahmundry,Visakhapatnam,Nani’s Sai Krishna Travels,470.0,3.1,24 Seats available,Non A/C Seater / Sleeper (2+1),23:59,05h 31m,05:30,Diwaan Chervu,3 to 4,others,AC Sleeper,A/C,Sleeper,23:00 - 00:00,05:00 - 06:00,Rajahmundry to Visakhapatnam
14,Rajahmundry,Visakhapatnam,Sri Dhanalakshmi Travels,475.0,3.1,23 Seats available,Non A/C Seater / Sleeper (2+1),23:59,04h 01m,04:00,KADIYAPULANKA,3 to 4,others,AC Sleeper,A/C,Sleeper,23:00 - 00:00,04:00 - 05:00,Rajahmundry to Visakhapatnam
