,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
0,Kyros Connect,INR 250,4.1,,Bharat Benz A/C Semi Sleeper (2+2),12:15,02h 10m,14:25,
1,Kyros Connect,INR 250,4.1,,Bharat Benz A/C Semi Sleeper (2+2),12:15,03h 25m,15:40,
2,Cochin Express,INR 800,4.0,,A/C Sleeper (2+1),02:30,02h 15m,04:45,
3,Deer Bus LLP,INR 700,4.0,,VE A/C Semi Sleeper (2+2),08:00,02h 00m,10:00,
4,Cochin Express,INR 800,3.2,,A/C Sleeper (2+1),02:30,02h 45m,05:15,
5,Kallada Travels (Suresh Kallada),INR 500,4.0,,A/C Sleeper (2+1),03:30,01h 15m,04:45,
6,Cochin Express,INR 667,4.0,,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),02:20,02h 25m,04:45,
7,LIYAS TOURS,1199,4.0,,Bharat Benz A/C Sleeper (2+1),03:55,01h 40m,05:35,
8,Cochin Express,INR 667,3.0,,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),02:20,02h 25m,04:45,
9,RAVINA TRAVELS,INR 1199,,,A/C Sleeper (2+1),14:35,02h 40m,17:15,
10,MMK Travels,INR 950,4.5,16 Seats available,A/C Sleeper (2+1),22:15,07h 15m,05:30,Majestic
11,NS Transports,INR 1200,4.4,9 Seats available,A/C Sleeper (2+1),22:15,07h 20m,05:35,Kalasipalyam
12,Kalpaka Travels,INR 1100,4.4,13 Seats available,A/C Sleeper (2+1),22:10,06h 50m,05:00,Kalasipalyam
13,AdSAAM BUS,832,4.3,24 Seats available,Bharat Benz A/C Sleeper (2+1),19:55,08h 50m,04:45,8th Mail Signal (Pickup Van/Bus)
14,Ashoka Travel and Logistics,900,4.3,4 Seats available,A/C Sleeper (2+1),21:45,07h 45m,05:30,Kalasipalyam
15,GOLDEN TRAVEL AGENCIES,INR 1000,4.3,18 Seats available,Volvo A/C Semi Sleeper (2+2),22:45,05h 45m,04:30,Kalasipalyam
16,Ashoka Travel and Logistics,INR 800,4.1,5 Seats available,NON A/C Semi Sleeper (2+2),09:00,08h 30m,17:30,Kalasipalyam
17,GOLDEN TRAVEL AGENCIES,INR 900,4.1,17 Seats available,NON A/C Sleeper (2+1),22:30,06h 15m,04:45,Kalasipalyam
18,NS Transports,INR 800,3.9,20 Seats available,Non A/C Seater / Sleeper (2+1),22:00,08h 00m,06:00,Kalasipalyam
19,Ashoka Travel and Logistics,800,4.0,19 Seats available,A/C Semi Sleeper (2+2),22:30,07h 15m,05:45,Madiwala
20,Sugama Tourist,INR 800,4.0,13 Seats available,A/C Sleeper (2+1),22:00,07h 30m,05:30,Kalasipalyam
21,GOLDEN TRAVEL AGENCIES,INR 899,4.0,28 Seats available,A/C Sleeper (2+1),21:45,07h 40m,05:25,Mathikere
22,P K Travels,INR 900,3.9,17 Seats available,A/C Seater / Sleeper (2+1),19:15,10h 15m,05:30,Kalasipalyam
23,GOLDEN TRAVEL AGENCIES,INR 749,3.9,11 Seats available,Non AC Seater (2+2),22:15,06h 45m,05:00,Kalasipalyam
24,NS Transports,INR 899,4.2,27 Seats available,NON A/C Sleeper (2+1),22:45,06h 35m,05:20,Kalasipalyam
25,P K Travels,INR 799,4.0,32 Seats available,NON A/C Semi Sleeper (2+2),21:45,07h 15m,05:00,Kalasipalyam
26,Ashoka Travel and Logistics,700,3.4,26 Seats available,NON A/C Semi Sleeper (2+2),22:00,07h 30m,05:30,Kalasipalyam
27,National travels and logistics,549,3.9,28 Seats available,Non A/C Seater / Sleeper (2+1),22:40,07h 05m,05:45,Kalasipalyam
28,Kalpaka Travels,INR 800,3.5,23 Seats available,NON A/C Seater/ Sleeper (2+1),21:45,07h 35m,05:20,Madiwala
29,Yathra Logistics,INR 799,3.6,30 Seats available,A/C Sleeper (2+1),22:10,08h 15m,06:25,Kengeri
30,Arya Travels,INR 849,3.0,32 Seats available,Volvo A/C Semi Sleeper (2+2),22:15,06h 25m,04:40,Kalasipalyam
31,Kalpaka Travels,INR 800,3.1,31 Seats available,NON A/C Seater/ Sleeper (2+1),22:00,07h 40m,05:40,Kalasipalyam
32,Kalpaka Travels,INR 800,3.7,18 Seats available,NON A/C Semi Sleeper (2+2),21:30,08h 15m,05:45,White Field
33,Arya Travels,INR 945,2.8,19 Seats available,A/C Sleeper (2+1),19:45,09h 25m,05:10,Kalasipalyam
34,Kalpaka Travels,INR 800,3.9,28 Seats available,NON A/C Seater/ Sleeper (2+1),22:00,07h 00m,05:00,Kalasipalyam
35,Sam Tourist,INR 999,3.0,21 Seats available,A/C Sleeper (2+1),22:35,07h 30m,06:05,Kalasipalyam
36,National travels and logistics,INR 799,,,Bharat Benz A/C Sleeper (2+1),22:45,07h 05m,05:50,
37,Surya Connect,INR 630,4.3,31 Seats available,Volvo A/C Semi Sleeper (2+2),23:20,02h 50m,02:10,Thrissur Town
