,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
0,Kadamba Transport Corporation Limited (KTCL) - 60996,INR 735,3.3,28 Seats available,Non AC Seater 2+2,19:00,12h 00m,07:00,Vasco
1,Konkan Tours & Travels,INR 3000,3.5,32 Seats available,NON A/C Sleeper (2+1),17:00,11h 00m,04:00,Panjim
2,Zingbus Plus,924,4.4,24 Seats available,Bharat Benz A/C Sleeper (2+1),17:00,15h 00m,08:40,Borivali West
3,Zingbus Plus,827,4.6,19 Seats available,VE A/C Sleeper (2+1),20:00,15h 20m,11:20,Borivali West
4,IntrCity SmartBus,INR 884,4.4,8 Seats available,AC Sleeper (2+1),17:00,15h 15m,08:15,Borivali West
5,AdMascot Travels(M.DEV),799,3.9,22 Seats available,A/C Sleeper (2+1),17:45,17h 15m,11:00,Borivali West
6,Rajdhani Travels Corporation,INR 1199,4.3,15 Seats available,VE A/C Sleeper (2+1),19:55,13h 40m,09:35,Sion
7,Dolphin Travel House (37),INR 1110,4.3,10 Seats available,Bharat Benz A/C Sleeper (2+1),13:30,17h 00m,06:30,Borivali West
8,IntrCity SmartBus,INR 800,4.2,12 Seats available,AC Sleeper (2+1),16:00,16h 20m,08:20,Borivali West
9,AdIntrCity SmartBus,INR 799,3.6,15 Seats available,AC Sleeper (2+1),17:30,16h 00m,09:30,Borivali West
10,Dolphin Travel House (38),INR 1010,4.3,29 Seats available,Bharat Benz A/C Sleeper (2+1),15:30,17h 00m,08:30,Borivali West
11,IntrCity SmartBus,INR 1020,4.1,11 Seats available,AC Sleeper (2+1),19:15,14h 30m,09:45,Sion
12,IntrCity SmartBus,INR 799,3.9,17 Seats available,AC Sleeper (2+1),20:55,13h 50m,10:45,Sion
13,Konkan Travels National,INR 699,4.1,19 Seats available,NON A/C Sleeper (2+1),19:25,14h 05m,09:45,Sion
14,Zingbus Plus,827,4.3,16 Seats available,VE A/C Sleeper (2+1),18:00,14h 55m,09:35,Borivali West
15,Global Travel Agency (GTA),INR 900,4.1,17 Seats available,A/C Sleeper (2+1),17:50,18h 40m,11:35,Borivali West
