,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
0,GV Tours,475,3.5,26 Seats available,A/C Seater/Sleeper (2+1),16:00,04h 30m,20:30,Station Road
1,Mahalaxmi Travels,INR 599,3.0,47 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),21:00,05h 30m,02:30,Rinku travel. Near siddharth...
2,Jay Bajrang Travels,INR 523.81,1.9,29 Seats available,A/C Seater/Sleeper (2+1),05:01,04h 29m,09:30,"INKU TRAVELS,opp.meena petrol..."
3,Gorsiya Travels,INR 700,1.6,29 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),03:46,05h 09m,08:55,"INKU TRAVELS,opp.meena petrol..."
4,janta shatabdi travels,428,1.3,34 Seats available,Non A/C Seater / Sleeper (2+1),19:15,04h 44m,23:59,"INKU TRAVELS,opp.meena petrol..."
5,MJ Bhati Travels JJN,INR 1149,2.6,40 Seats available,Bharat Benz A/C Sleeper (2+1),18:00,05h 00m,23:00,"Plot No A-1, Near Bharat Hosp..."
6,Rinku Travels,INR 400,2.5,26 Seats available,A/C Seater / Sleeper (2+1),21:15,05h 40m,02:55,Station Road
7,Rinku Travels,INR 500,2.5,40 Seats available,NON AC Seater / Sleeper 2+1,21:30,04h 16m,01:46,Baba Travels Opp Natraj Hotel...
8,Rinku Travels,INR 300,2.5,38 Seats available,NON AC Seater / Sleeper 2+1,20:00,05h 50m,01:50,Sindhi Camp
9,Rinku Travels,INR 300,2.5,23 Seats available,NON AC Seater / Sleeper 2+1,19:00,05h 59m,00:59,Hotel Archana
10,Mansoori tour and travels,648,1.4,25 Seats available,A/C Seater / Sleeper (2+1),21:00,04h 45m,01:45,Hotel Archana
11,Bhagwati Travel Agency,INR 650,3.6,32 Seats available,AC Sleeper (2+1),21:55,05h 00m,02:55,Hotel Archana
12,Shree Baba Travels,INR 800,3.3,45 Seats available,A/C Seater / Sleeper (2+1),21:00,06h 30m,03:30,Rinku travel. Near siddharth...
13,GV Tours,475,2.6,40 Seats available,A/C Seater / Sleeper (2+1),22:50,04h 40m,03:30,Sindhi Camp
14,SHAGUN CARGO & TRAVELS,475,2.6,47 Seats available,NON A/C Seater/ Sleeper (2+1),20:15,05h 45m,02:00,Sindhi Camp
15,SHAGUN CARGO & TRAVELS,570,2.6,40 Seats available,A/C Sleeper (2+1),22:15,05h 30m,03:45,Sindhi Camp
16,SHAGUN CARGO & TRAVELS,855,2.5,30 Seats available,NON A/C Seater/ Sleeper (2+1),22:15,04h 45m,03:00,Sindhi Camp
17,Rinku Travels,INR 350,1.6,40 Seats available,A/C Seater / Sleeper (2+1),21:30,04h 20m,01:50,"Plot No A-1, Near Bharat Hosp..."
18,janta shatabdi travels,665,1.6,,Non A/C Seater / Sleeper (2+1),22:45,04h 45m,03:30,
19,janta shatabdi travels,475,1.6,,Non A/C Seater / Sleeper (2+1),21:15,04h 44m,01:59,
20,janta shatabdi travels,475,1.6,,Non A/C Seater / Sleeper (2+1),21:15,04h 44m,01:59,
21,janta shatabdi travels,646,1.4,,A/C Sleeper (2+1),21:35,03h 55m,01:30,
22,Mansoori tour and travels,648,,,Non A/C Seater / Sleeper (2+1),15:30,09h 10m,00:40,
23,Jain travels regd,INR 600,4.5,24 Seats available,AC Sleeper (2+1),22:30,06h 35m,05:05,"Jain parshwanath travels, mot..."
24,Gajraj Travels,INR 600,4.7,19 Seats available,A/C Sleeper (2+1),22:15,07h 20m,05:35,Sindhi Camp
25,M R Travels,INR 500,4.4,26 Seats available,A/C Seater / Sleeper (2+1),22:30,07h 00m,05:30,Station Road
26,Jain travels regd,INR 450,4.2,38 Seats available,A/C Seater / Sleeper (2+1),22:00,07h 00m,05:00,"Karan maharaja travels, opp. ..."
27,Jain travels regd,INR 350,3.9,35 Seats available,NON AC Seater / Sleeper 2+1,21:45,07h 15m,05:00,Sindhi Camp
28,Jakhar Travels,INR 600,3.8,29 Seats available,A/C Sleeper (2+1),21:00,06h 50m,03:50,Hotel Natraj
29,Kalpana Travels Pvt. Ltd.,INR 350,3.4,40 Seats available,NON AC Seater / Sleeper 2+1,23:00,08h 00m,07:00,Gopalwadi near jaipur junctio...
30,Jain travels regd,INR 650,3.2,40 Seats available,NON AC Seater/ Sleeper (2+1),23:15,07h 15m,06:30,Sindhi Camp
31,M R Travels,INR 500,3.9,31 Seats available,A/C Seater / Sleeper (2+1),23:25,06h 45m,06:10,Shiv Shankar Travels Polovictory
32,Jakhar Travels And Cargo,INR 600,4.4,32 Seats available,A/C Sleeper (2+1),21:00,06h 40m,03:40,Sindhi Camp
33,Jain Shiv Shankar Travels,INR 350,3.8,38 Seats available,NON A/C Seater/ Sleeper (2+1),21:30,07h 15m,04:45,Gopal Wadi
34,Swagat Travels,INR 450,3.8,33 Seats available,A/C Seater / Sleeper (2+1),20:00,07h 20m,03:20,Kalpana chamber fathe singh m...
35,Jain Shiv Shankar Travels,INR 600,2.5,34 Seats available,A/C Seater/Sleeper (2+1),13:30,07h 15m,20:45,Gopal Wadi
36,Jakhar Travels,INR 700,3.1,36 Seats available,A/C Seater / Sleeper (2+1),02:30,06h 00m,08:30,Hotel natraj shree paras trav...
37,Jain Shiv Shankar Travels,INR 350,3.4,50 Seats available,NON A/C Seater/ Sleeper (2+1),20:20,07h 30m,03:50,Sindhi Camp
38,FlixBus,INR 229,3.3,35 Seats available,A/C Sleeper (2+1),03:20,06h 15m,09:35,Hotel Natraj
39,Bluecity Bus,INR 900,3.9,36 Seats available,Bharat Benz A/C Sleeper (2+1),02:45,06h 30m,09:15,Sindhi Camp
40,Shree Paras Travels,INR 350,2.8,17 Seats available,NON AC Seater / Sleeper 2+1,21:00,08h 30m,05:30,Sindhi Camp
41,Jain travels regd,INR 600,2.5,17 Seats available,AC Sleeper (2+1),02:33,06h 30m,09:03,Sindhi Camp
42,Jain travels regd,INR 650,2.2,20 Seats available,NON AC Seater / Sleeper 2+1,01:10,06h 50m,08:00,GANESH TRAVELS POLOVICTORY JA...
43,Jakhar Travels And Cargo,INR 350,1.0,36 Seats available,Non A/C Seater / Sleeper (2+1),19:00,07h 30m,02:30,Sindhi Camp
44,Samay Shatabdi Travels Pvt Ltd,INR 500,4.4,36 Seats available,NON AC Seater / Sleeper 2+1,04:15,07h 00m,11:15,Sindhi Camp
45,Chanakya Travels Agency,INR 650,3.4,38 Seats available,NON A/C Seater/ Sleeper (2+1),02:15,06h 30m,08:45,Rajput Chatrawas
46,Jakhar Travels,INR 429,4.0,34 Seats available,A/C Seater / Sleeper (2+1),22:30,07h 00m,05:30,Sindhi Camp
47,Sainath Travel Agency,INR 350,3.4,37 Seats available,Non A/C Seater / Sleeper (2+1),21:15,08h 00m,05:15,Station Road
48,Western Bus,INR 2000,4.4,41 Seats available,VE A/C Sleeper (2+1),04:50,05h 40m,10:30,R.S.SODHA Travels
49,Chanakya Travels Agency,INR 650,3.3,29 Seats available,AC Sleeper (2+1),03:30,06h 55m,10:25,Gopalwadi near jaipur junctio...
50,Bhagwati Travels and Tours,INR 400,2.6,36 Seats available,A/C Seater/Sleeper (2+1),17:40,06h 55m,00:35,Gopalwadi near jaipur junctio...
51,Bhagwati Travels and Tours,INR 400,2.5,40 Seats available,A/C Seater/Sleeper (2+1),18:00,06h 30m,00:30,"Pooja Travels, Opp Sekhawati ..."
52,Shre Ganesh Travels,INR 700,2.4,40 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),23:59,05h 46m,05:45,Sindhi Camp
53,Sainath Travel Agency,INR 350,2.8,39 Seats available,Non A/C Seater / Sleeper (2+1),22:30,07h 30m,06:00,Sindhi Camp
54,Geetanjali Travels,INR 400,2.5,42 Seats available,NON AC Seater / Sleeper 2+1,22:35,07h 05m,05:40,Chouhan travels and cargo und...
55,Laxmi traveller,INR 550,2.6,36 Seats available,A/C Seater / Sleeper (2+1),03:20,05h 55m,09:15,Station Road
56,Gorsiya Travels,INR 600,2.7,38 Seats available,A/C Seater / Sleeper (2+1),19:15,06h 45m,02:00,"Panwar Travels jaipur ,Opp. P..."
57,M R Travels,INR 1000,2.8,8 Seats available,A/C Volvo B11R Multi-Axle Sleeper (2+1),02:15,06h 45m,09:00,"Pooja Travels Pilar no 182,Op..."
58,Geetanjali Travels,INR 400,2.9,34 Seats available,NON AC Seater / Sleeper 2+1,23:00,08h 00m,07:00,Transport nagar
59,Shree Ganesh Travels,INR 450,2.3,,A/C Seater / Sleeper (2+1),18:30,07h 00m,01:30,
60,R.S.Sodha Travels,INR 600,1.8,,A/C Seater / Sleeper (2+1),21:30,05h 40m,03:10,
61,Pooja Travels,INR 550,1.4,,Non A/C Seater / Sleeper (2+1),11:30,07h 45m,19:15,
62,Kalpana Travels Pvt. Ltd.,INR 500,3.1,,AC Sleeper (2+1),22:30,08h 00m,06:30,
63,Kalpana Travels Pvt. Ltd.,INR 500,4.3,,A/C Seater / Sleeper (2+1),20:15,06h 45m,03:00,
64,M R Travels,INR 1650,4.2,,A/C Seater / Sleeper (2+1),04:15,07h 00m,11:15,
65,Jain travels regd,INR 1600,3.7,,AC Sleeper (2+1),02:31,09h 39m,12:10,
66,Shri Charbhuja Travels (A Unit Of Bala Agri..),INR 1000,1.8,,NON AC Seater / Sleeper 2+1,02:46,09h 36m,12:22,
67,Pooja Travels,INR 400,3.6,,A/C Seater / Sleeper (2+1),16:45,08h 30m,01:15,
68,New Amar Travels,2128,3.4,,Bharat Benz A/C Sleeper (2+1),03:14,06h 41m,09:55,
69,Jakhar Travels And Cargo,INR 450,3.4,,A/C Seater / Sleeper (2+1),20:30,07h 20m,03:50,
70,Jakhar Travels And Cargo,INR 450,3.2,,A/C Seater / Sleeper (2+1),21:00,06h 55m,03:55,
71,Chouhan travels and Cargo,INR 600,3.0,,A/C Seater / Sleeper (2+1),20:20,07h 10m,03:30,
72,bhaiya travels,INR 850,2.9,,NON A/C Sleeper (2+1),02:15,07h 10m,09:25,
73,Shree Ganesh Travels,INR 450,2.8,,A/C Seater / Sleeper (2+1),20:00,07h 05m,03:05,
74,Panwar Travels,INR 350,2.5,,NON A/C Seater/ Sleeper (2+1),22:30,08h 13m,06:43,
75,Shre Ganesh Travels,INR 900,2.5,,A/C Seater / Sleeper (2+1),02:00,07h 00m,09:00,
76,Laxmi traveller,INR 400,2.4,,NON A/C Seater/ Sleeper (2+1),21:00,07h 30m,04:30,
77,BG Travels,925,,,A/C Seater / Sleeper (2+1),21:30,07h 55m,05:25,
78,Jain travels regd,INR 350,,,NON AC Seater / Sleeper 2+1,03:41,08h 10m,11:51,
79,KKT Travels,INR 1100,,,NON AC Seater / Sleeper 2+1,01:46,07h 04m,08:50,
80,ROYAL BULLET BUS,INR 750,4.5,38 Seats available,VE A/C Semi Sleeper (2+2),10:10,01h 20m,11:30,"Shri shyam travels ,kalyan ci..."
81,Sagwan Travels,285,2.5,21 Seats available,A/C Seater / Sleeper (2+1),17:40,02h 30m,20:10,Piprali Bypass (Raj Travels)
82,Sharma Tour and Travels,INR 950,4.4,40 Seats available,AC Sleeper (2+1),02:55,02h 23m,05:18,"Snehlata chowdhary travels,"
83,New Deep Travels,769,4.2,,Volvo Multi-Axle I-Shift A/C Semi Sleeper (2+2),21:15,01h 35m,22:50,
84,New Deep Travels,INR 666.67,4.2,,Volvo Multi-Axle I-Shift A/C Semi Sleeper (2+2),18:40,01h 40m,20:20,
85,RATHORE TRAVELS AGENCY,INR 800,4.1,,Volvo 9600 A/C Sleeper (2+1),03:15,02h 00m,05:15,
